"name","description","address","zipcode","city","longitude","latitude"
"COMITE DE COORDINATION POUR LE FESTIVAL DU FILM TOURISTIQUE FRANCAISA L'ETRANGER","Promouvoir la france a travers organisation rencontres voyages","79 rue des martyrs","69200","VENISSIEUX","4.869909","45.690289"
"COMITE DE JEUNES DE VENISSIEUX","Repondre aux besoins sociaux culturels","18 avenue jean cagne","69200","VENISSIEUX","4.871459","45.695773"
"ASSOCIATION SAINT PIERRE 2000 (MARTINIQUE)","Amelioration developpement activites culturelles","Chez m raymond leardee 3 rue lamartine","69150","DECINES-CHARPIEU","4.975687","45.775479"
"GROUPEMENT DES ASSOCIATIONS LOCALES D'URGENCE ET DE PERMANENCE DES SOINS DURHONE GALUPS 69","Faciliter modernisation de garde medicale et","4 place jofre","69230","SAINT-GENIS-LAVAL","4.793308","45.69438"
"CHAPONOST ACCUEIL","Accueillir nouveaux arrivants dans la commune","Mairie de chaponost","69630","CHAPONOST","4.733385","45.723832"
"TEAM DAVID CHOURAQUI","Promouvoir karting de competition","48 route de geneve","69140","RILLIEUX-LA-PAPE","4.889255","45.806668"
"PLEIN SUD S'AMUSE","Creer et organiser des activites dans le domaine des loisirs","Rue des lauriers","69320","FEYZIN","4.862685","45.680973"
"AMICALE GROUPEMENT CLASSE EN I","Resserrer liens amitie et camaraderie entre conscrits","9 rue gagarine","69700","GIVORS","4.769542","45.600155"
"ASSOCIATION POUR LA RECHERCHE ET L'ENSEIGNEMENT EN OPHTALMOLOGIE AREO","Assurer promotion ophtalmologie veterinaire","4 allee du pic vert","69130","ECULLY","4.764531","45.77934"
"VIVRE A SATHONAY CAMP","Etre une liaison entre les elus de la liste ensemble vivons","Hotel de la chapelle","69580","SATHONAY-CAMP","4.871816","45.830356"
"ASSOCIATION DES ETUDIANTS DE COMMERCE AEC","Organiser actions de loisirs afin de faciliter les echanges","16 bis rue ferroussat","69630","CHAPONOST","4.767847","45.721653"
"VENISSIEUX ECOLOGIE","Promouvoir et developper reflexion action a venissieux","2 rue du chateau","69200","VENISSIEUX","4.883731","45.699564"
"LA ROSERAIE","Gerer fonctionnement et entretien reseau egout et station","16 rue bergeret","69150","DECINES-CHARPIEU","4.971829","45.767987"
"LITTLE KIDS DE PAUL BERT","Sensibiliser a l'anglais","Ecole maternelle paul bert 25 rue jb gilliard","69300","CALUIRE-ET-CUIRE","4.853931","45.791903"
"SAINT ANDRE COMMUNICATIONS","Faciliter communication et relations entre habitants du village","Mairie","69440","SAINT-ANDRE-LA-COTE","4.599746","45.630047"
